data_point,region,age_group,count_zab,count_hosp,count_severe,count_death
2022.08.B_16-09-2022,Московская область,20-29,8906,352,39,1
2022.08.B_16-09-2022,Московская область,30-39,15736,456,59,13
2022.08.B_16-09-2022,Московская область,40-49,12107,326,74,15
2022.08.B_16-09-2022,Московская область,50-59,10374,372,104,17
2022.08.B_16-09-2022,Московская область,60-69,10844,736,166,44
2022.08.B_16-09-2022,Московская область,70-79,6039,928,234,83
2022.08.B_16-09-2022,Московская область,80+,3423,994,282,157
2022.08.B_16-09-2022,РФ,20-29,142481,6281,229,13
2022.08.B_16-09-2022,РФ,30-39,224201,8011,605,109
2022.08.B_16-09-2022,РФ,40-49,188162,5595,829,210
2022.08.B_16-09-2022,РФ,50-59,180830,7107,1265,277
2022.08.B_16-09-2022,РФ,60-69,195848,15221,2498,851
2022.08.B_16-09-2022,РФ,70-79,110639,16202,2752,1137
2022.08.B_16-09-2022,РФ,80+,57608,14264,3607,2169
2022.08.B_16-09-2022,г. Санкт-Петербург,20-29,14864,567,31,4
2022.08.B_16-09-2022,г. Санкт-Петербург,30-39,22196,793,53,6
2022.08.B_16-09-2022,г. Санкт-Петербург,40-49,16463,551,60,15
2022.08.B_16-09-2022,г. Санкт-Петербург,50-59,15237,599,76,30
2022.08.B_16-09-2022,г. Санкт-Петербург,60-69,14754,1028,209,82
2022.08.B_16-09-2022,г. Санкт-Петербург,70-79,8589,1236,239,110
2022.08.B_16-09-2022,г. Санкт-Петербург,80+,4815,1476,438,296
2022.09.B_11-11-2022,Московская область,20-29,5760,186,7,1
2022.09.B_11-11-2022,Московская область,30-39,10024,303,24,7
2022.09.B_11-11-2022,Московская область,40-49,8291,228,30,16
2022.09.B_11-11-2022,Московская область,50-59,7398,304,47,24
2022.09.B_11-11-2022,Московская область,60-69,8504,611,91,41
2022.09.B_11-11-2022,Московская область,70-79,5011,730,126,75
2022.09.B_11-11-2022,Московская область,80+,3100,912,181,155
2022.09.B_11-11-2022,РФ,20-29,147458,6082,186,30
2022.09.B_11-11-2022,РФ,30-39,236565,8001,525,188
2022.09.B_11-11-2022,РФ,40-49,221900,6139,814,308
2022.09.B_11-11-2022,РФ,50-59,212686,7798,1115,426
2022.09.B_11-11-2022,РФ,60-69,242078,18752,2572,1279
2022.09.B_11-11-2022,РФ,70-79,143750,20635,3258,1900
2022.09.B_11-11-2022,РФ,80+,76862,19562,4621,3584
2022.09.B_11-11-2022,г. Санкт-Петербург,20-29,10805,502,20,1
2022.09.B_11-11-2022,г. Санкт-Петербург,30-39,16225,580,29,10
2022.09.B_11-11-2022,г. Санкт-Петербург,40-49,13523,445,49,21
2022.09.B_11-11-2022,г. Санкт-Петербург,50-59,11910,533,91,37
